merchant,category,url,public_recon_status,evidence_summary,existing_related_capability,restock_alert,price_condition_alert,notes
Aksa,Baby,https://www.aksa.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Baby replenishment/restock can be high intent
Dexy Co,Toys/Baby,https://www.dexy.co.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Manual audit required
Enci Menci,Baby,https://www.encimenci.com,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Manual audit required
Jungle Baby,Baby,https://www.junglebaby.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Manual audit required
Menda,Baby/Toys,https://www.menda.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Manual audit required
IKEA Serbia,Home,https://www.ikea.com/rs/sr,UNKNOWN,Global first-party stack; Serbia condition-watch flow not verified,,UNKNOWN,UNKNOWN,Likely poor first partner due strong internal tooling
JYSK Serbia,Home,https://jysk.rs,UNKNOWN,Current proactive watch flow not verified,,UNKNOWN,UNKNOWN,Manual audit required
Forma Ideale,Furniture,https://www.formaideale.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Long purchase cycle; less trigger frequency
Emmezeta Serbia,Home,https://www.emmezeta.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Manual audit required
Simpo,Furniture,https://simpo.rs,UNKNOWN,Current ecommerce/watch maturity not verified,,UNKNOWN,UNKNOWN,Lower priority trigger segment
Vitorog,Furniture,,UNKNOWN,Current ecommerce/watch maturity not verified,,UNKNOWN,UNKNOWN,Requires domain/UX confirmation
Lesnina XXXL Serbia,Home,https://www.xxxlesnina.rs,UNKNOWN,Current proactive watch flow not verified,,UNKNOWN,UNKNOWN,Global/regional internal tooling risk
Uradi Sam,Home/DIY,https://uradi-sam.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Stock availability could matter
Delfi,Books,https://www.delfi.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Lower value per trigger
Vulkan,Books,https://www.vulkani.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Lower value per trigger
Pet Centar,Pet,https://www.pet-centar.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Recurring purchase but stock trigger value varies
Pet Republic,Pet,https://petrepublic.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Potential mid-market partner
Premium Pet,Pet,https://premiumpet.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Potential WooCommerce/custom segment
BENU,Pharmacy/Health retail,https://benu.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Regulatory/marketing sensitivity; not first segment
Dr.Max Serbia,Pharmacy/Health retail,https://www.drmax.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Avoid health profiling in initial validation
GameS,Gaming,https://www.games.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Limited/collector stock can create strong trigger value
ComputerLand,Electronics/Gaming,https://www.computerland.rs,UNKNOWN,Current watch UX not sufficiently verified,,UNKNOWN,UNKNOWN,Manual audit required
Ekupi Serbia / equivalent specialist sample,General ecommerce,,UNKNOWN,Reserved as 50th sample slot; no reliable current Serbian domain verified,,UNKNOWN,UNKNOWN,Do not infer feature absence
